id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
795 oxidized_copper_door 156521,144,20,32226,1000000 0,0,0 299000,1,1
796 waxed_copper_door 46000,5,3,16667,90000 0,0,0 0,0,0
797 waxed_exposed_copper_door 0,0,0,0,0 0,0,0 0,0,0
798 waxed_weathered_copper_door 0,0,0,0,0 0,0,0 1360000,5,5
799 waxed_oxidized_copper_door 242647,96,87,19949,2000000 0,0,0 115271,36,35
800 iron_trapdoor 5353,41602,3057,738,270000 253731,33216,519 4877,9806,766
801 oak_trapdoor 3005,80148,3198,156,6000000 146522,69568,1087 2777,20615,1012
802 spruce_trapdoor 863,333873,11906,109,101000 40439,308224,4816 725,84647,3074
803 birch_trapdoor 8763,8608,455,174,5000000 269613,5952,93 11807,1145,163
804 jungle_trapdoor 13489,4545,276,494,1000000 598709,3520,55 26396,806,139
805 acacia_trapdoor 18202,4286,397,500,10000000 533698,3392,53 8116,1451,58
806 cherry_trapdoor 6949,15569,437,667,500000 372121,13184,206 10843,3086,152
807 dark_oak_trapdoor 3662,46449,1156,100,2000000 210243,43072,673 3268,9361,465
808 pale_oak_trapdoor 7370,58730,1654,156,1546875 408225,52608,822 4750,14302,368
809 mangrove_trapdoor 27581,14420,554,1563,980000 1579927,12032,188 33136,2525,76
810 bamboo_trapdoor 8330,24342,658,778,500000 444979,20928,327 6473,5173,96
811 crimson_trapdoor 22993,7495,260,1594,35000000 730283,6528,102 11646,1233,27
812 warped_trapdoor 30439,23316,1417,1339,13687500 542958,15680,245 9861,7169,265
813 copper_trapdoor 3850,20902,369,909,100000 230037,20032,313 3991,3129,61
814 exposed_copper_trapdoor 137111,350,13,30000,600000 8400000,320,5 84538,13,3
815 weathered_copper_trapdoor 155482,639,41,40000,500000 9076667,576,9 129230,196,6
816 oxidized_copper_trapdoor 57216,4246,237,15000,1000000 3144482,2816,44 56412,1759,120
817 waxed_copper_trapdoor 29971,2111,63,165,600000 1625656,1728,27 10930,626,16
818 waxed_exposed_copper_trapdoor 112500,128,2,112500,112500 7200000,128,2 0,0,0
819 waxed_weathered_copper_trapdoor 75371,887,20,1563,20000000 1161538,832,13 0,0,0
820 waxed_oxidized_copper_trapdoor 53113,4755,245,9091,1000000 2872885,3328,52 86424,641,54
821 oak_fence_gate 4013,101909,2477,266,1000000 224328,94912,1483 4138,16753,589
822 spruce_fence_gate 1530,219848,5634,79.36,234375 74756,195712,3058 1213,61475,1483
823 birch_fence_gate 118218,3348,270,625,6187500 830978,1792,28 52173,826,69
824 jungle_fence_gate 8049,1479,57,333,500000 523038,832,13 9375,264,12
825 acacia_fence_gate 41933,733,244,714,625000 1392391,448,7 46071,42,42
826 cherry_fence_gate 10261,4454,93,82.25,200000 644018,3648,57 6338,609,18
827 dark_oak_fence_gate 6443,10181,448,625,600000 289141,7744,121 50569,253,58
828 pale_oak_fence_gate 9590,33132,829,875,250000 545023,29696,464 10180,5342,186
829 mangrove_fence_gate 31476,1016,47,1172,1000000 1651923,832,13 47703,74,11
830 bamboo_fence_gate 85223,4968,118,1769,18687500 1110738,3712,58 13903,2079,42
831 crimson_fence_gate 49704,1476,453,1429,500000 3576667,384,6 22039,644,92
832 warped_fence_gate 33124,2550,259,1563,1250000 1191628,1792,28 27841,313,70
833 powered_rail 4425,262086,10102,1703,200000 215420,212544,3321 3761,74795,2907
834 detector_rail 6739,18336,1065,333,800000 305299,14720,230 7929,3678,197
835 rail 811,386155,8657,62.5,100000 41849,352384,5506 481,127906,2564
836 activator_rail 5016,60202,1457,95.01,1379310 246481,55552,868 3351,15963,354
837 saddle 11270,2081,2081,1000,100000 11270,2081,2081 13633,475,475
838 white_harness 80225,639,639,10000,500000 80225,639,639 67498,106,106
839 orange_harness 2616190,21,21,80000,20000000 2616190,21,21 0,0,0
840 magenta_harness 81685,89,89,20000,1000000 81685,89,89 0,0,0
841 light_blue_harness 494533,15,15,69000,2000000 494533,15,15 0,0,0
842 yellow_harness 1081111,9,9,40000,7000000 1081111,9,9 30833,6,6
843 lime_harness 3450709,31,31,10000,100000000 3450709,31,31 0,0,0
844 pink_harness 3392500,20,20,100000,40000000 3392500,20,20 300000,1,1
845 gray_harness 115643,14,14,25000,500000 115643,14,14 70000,1,1
846 light_gray_harness 186053,38,38,30000,1000000 186053,38,38 0,0,0
847 cyan_harness 619333,27,27,50000,9000000 619333,27,27 0,0,0
848 purple_harness 6003593,27,27,69000,155000003 6003593,27,27 85571,7,7
849 blue_harness 370571,56,56,19000,1500000 370571,56,56 500889,27,27
850 brown_harness 106079168,38,38,14483,3999999918 106079168,38,38 0,0,0
