item,price,price_src,ah_value,units_per_day,trades_per_day,pull,capture,thinness,corner_cost,bid_change_pct,bid_now,top_outputs
cyan_dye,50.0,orders,2328.0,68518,1278,1016049078,20316918.2,14829,3426585,,,"cyan_terracotta(329,765,625); cyan_stained_glass(156,912,190); cyan_candle(147,658,400)"
chest,558.2,ah,781.0,717651,21030,11165927700,20002378.4,15559,400614318,,,"hopper(5,439,800,000); trapped_chest(2,476,200,000); shulker_box(1,308,527,700)"
paper,103.0,orders,625.0,494320,8072,2044927337,19853663.5,4137,50914960,,,"map(682,587,309); firework_rocket(582,951,028); skull_banner_pattern(67,500,000)"
red_dye,156.0,ah,156.0,330375,5429,3024328644,19386722.1,9154,51538500,,,"red_wool(512,787,492); red_stained_glass(506,922,328); red_carpet(476,285,535)"
glass,280.0,orders,688.0,806810,17610,5256737416,18774062.2,6515,225906800,,,"end_crystal(1,663,365,000); beacon(1,595,300,000); tinted_glass(181,859,504)"
blaze_powder,30.0,orders,859.0,111079,1883,554077719,18469257.3,4988,3332370,,,"ender_eye(294,646,148); magma_cream(134,026,992); brewing fuel for every potion(95,416,861)"
lime_dye,50.0,orders,1875.0,115827,1837,911805396,18236107.9,7872,5791350,,,"lime_stained_glass(250,181,541); lime_wool(175,146,875); lime_terracotta(168,856,250)"
birch_planks,156.2,ah,1016.0,39042,693,2844998253,18207988.8,72870,6100312,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
candle,100.0,orders,1094.0,29622,836,1774172642,17741726.4,59894,2962200,,,"purple_candle(550,956,000); yellow_candle(328,100,000); cyan_candle(147,658,400)"
quartz,310.0,orders,12500.0,161932,3110,4841611646,15618102.1,29899,50198920,,,"comparator(2,446,560,000); observer(1,075,014,024); diorite(437,003,180)"
redstone_torch,203.0,orders,0.0,0,0,2806388750,13824575.1,2806388750,0,,,"repeater(1,802,737,500); comparator(815,520,000); activator_rail(188,131,250)"
bow,70.0,orders,0.0,23823,23823,856242000,12232028.6,35942,1667610,,,"dispenser(856,242,000)"
jungle_planks,250.0,ah,250.0,26040,443,2867726899,11470907.6,110128,6510000,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
