raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
nether_wart,52.0,orders,(sell raw as-is on AH),nether_wart,1,0,1703.0,1563.0,1651.0,1511.0,221178,3899,1703.0,1563.0
nether_wart,52.0,orders,nether_wart x2 -> red_nether_bricks x1 -> red_nether_brick_slab x6,red_nether_brick_slab,1.0,469.0,23438.0,15558.0,22917.0,15037.0,5082,88,23438.0,15558.0
nether_wart,52.0,orders,nether_wart x2 -> red_nether_bricks x1 -> red_nether_brick_wall x6,red_nether_brick_wall,0.5,469.0,7726.5,7031.5,7205.5,6510.5,2919,48,15453.0,14063.0
nether_wart,52.0,orders,nether_wart x2 -> red_nether_bricks x1 -> red_nether_brick_stairs x4,red_nether_brick_stairs,0.333,469.0,6250.0,5729.3,5729.0,5208.3,6843,119,18750.0,17188.0
nether_wart,52.0,orders,nether_wart x2 -> red_nether_bricks x1,red_nether_bricks,0.5,469.0,3554.5,3554.5,3033.5,3033.5,59457,941,7109.0,7109.0
nether_wart,52.0,orders,nether_wart x9 -> nether_wart_block x1,nether_wart_block,0.111,0.0,104.2,100.7,52.2,48.7,23039,410,938.0,906.0
sugar_cane,51.0,orders,(sell raw as-is on AH),sugar_cane,1,0,1250.0,547.0,1199.0,496.0,467440,8684,1250.0,547.0
sugar_cane,51.0,orders,sugar_cane x3 -> paper x3 -> skull_banner_pattern x1,skull_banner_pattern,1.0,31000.0,500000.0,320000.0,468949.0,288949.0,135,135,500000.0,320000.0
sugar_cane,51.0,orders,sugar_cane x3 -> paper x3 -> mojang_banner_pattern x1,mojang_banner_pattern,1.0,1365919.5,1590000.0,1590000.0,224029.5,224029.5,37,37,1590000.0,1590000.0
sugar_cane,51.0,orders,sugar_cane x3 -> paper x3 -> field_masoned_banner_pattern x1,field_masoned_banner_pattern,1.0,1953.0,400000.0,100000.0,397996.0,97996.0,50,50,400000.0,100000.0
sugar_cane,51.0,orders,sugar_cane x3 -> paper x3 -> bordure_indented_banner_pattern x1,bordure_indented_banner_pattern,1.0,1406.2,100000.0,99000.0,98542.8,97542.8,218,218,100000.0,99000.0
sugar_cane,51.0,orders,sugar_cane x1 -> sugar x1 -> cake x1,cake,0.5,951.5,75000.0,49500.0,73997.5,48497.5,1808,1808,150000.0,99000.0
sugar_cane,51.0,orders,sugar_cane x1 -> sugar x1 -> cake x1,cake,0.5,1500.0,75000.0,49500.0,73449.0,47949.0,1808,1808,150000.0,99000.0
bamboo,14.0,orders,(sell raw as-is on AH),bamboo,1,0,93.75,93.75,79.8,79.8,350849,5824,93.75,93.75
bamboo,14.0,orders,bamboo x2 -> stick x1 -> powered_rail x6,powered_rail,3.0,1980.4,120000.0,120000.0,118005.6,118005.6,262086,10102,40000.0,40000.0
bamboo,14.0,orders,bamboo x2 -> stick x1 -> black_banner x1,black_banner,0.5,90.0,125000.0,100000.0,124896.0,99896.0,9145,2501,250000.0,200000.0
bamboo,14.0,orders,bamboo x2 -> stick x1 -> orange_banner x1,orange_banner,0.5,12938.8,100000.0,100000.0,87047.1,87047.1,410,66,200000.0,200000.0
bamboo,14.0,orders,bamboo x2 -> stick x1 -> cyan_banner x1,cyan_banner,0.5,7031.2,231500.0,75000.0,224454.8,67954.8,358,227,463000.0,150000.0
bamboo,14.0,orders,bamboo x2 -> stick x1 -> red_banner x1,red_banner,0.5,8830.4,99999.5,75000.0,91155.1,66155.6,3540,1198,199999.0,150000.0
bamboo,14.0,orders,bamboo x2 -> stick x1 -> lime_banner x1,lime_banner,0.5,9375.0,75000.0,75000.0,65611.0,65611.0,362,232,150000.0,150000.0
string,72.0,orders,(sell raw as-is on AH),string,1,0,625.0,625.0,553.0,553.0,167401,3226,625.0,625.0
string,72.0,orders,string x1 -> bundle x1,bundle,1.0,283.0,99000.0,99000.0,98645.0,98645.0,4165,4165,99000.0,99000.0
