output,out_n,inputs,cost,sell_unit,sell_channel,revenue,profit_per_craft,margin_pct,profit_per_input_item,crafts_per_hr_per_line,profit_per_hr_per_line,out_daily_ah_units,out_daily_trades,max_profit_per_day_by_volume,ah_single_sell,sell_basis,out_n_tx,stale_order_input
lime_stained_glass_pane,16,lime_stained_glass x6 @200o,1200.0,6047.0,ah,96752.0,95552.0,7962.7,15925.33,1500,143328000,10100,168,60317200,7383.0,tx_stack_med,15,STALE-JUN25
green_bed,1,green_wool x3 @501o + dark_oak_planks x3 @1041a,4626.0,100000.0,ah,100000.0,95374.0,2061.7,15895.67,1500,143061045,374,374,35669887,100000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + cherry_planks x3 @781a,16102.5,111430.0,ah,111430.0,95327.5,592.0,15887.92,1500,142991250,188,188,17921570,111430.0,tx_med,15,
green_bed,1,green_wool x3 @501o + crimson_planks x3 @1094a,4785.3,100000.0,ah,100000.0,95214.7,1989.7,15869.12,1500,142822050,374,374,35610298,100000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + dark_oak_planks x3 @1041a,16881.4,111430.0,ah,111430.0,94548.6,560.1,15758.1,1500,141822870,188,188,17775133,111430.0,tx_med,15,
brown_bed,1,brown_wool x3 @4586a + crimson_planks x3 @1094a,17040.8,111430.0,ah,111430.0,94389.2,553.9,15731.54,1500,141583875,188,188,17745179,111430.0,tx_med,15,
wild_armor_trim_smithing_template,2,diamond x7 @5713a + wild_armor_trim_smithing_template x1 @8500o + mossy_cobblestone x1 @24o,48512.9,95000.0,ah,190000.0,141487.1,291.6,15720.79,1000,141487100,901,610,63739939,97000.0,tx_med,15,STALE-JUN25
cut_copper_slab,6,cut_copper x3 @5000a,15000.0,10313.0,ah,61878.0,46878.0,312.5,15626.0,3000,140634000,2180,38,17032340,6430.0,tx_stack_med,15,
mossy_cobblestone_slab,6,mossy_cobblestone x3 @24o,72.0,7813.0,ah,46878.0,46806.0,65008.3,15602.0,3000,140418000,8928,153,69647328,920669.0,tx_stack_med,15,STALE-JUN25
waxed_weathered_copper,1,weathered_copper x1 @43750a + honeycomb x1 @100o,43850.0,75000.0,ah,75000.0,31150.0,71.0,15575.0,4500,140175000,6714,115,209141100,41578.0,tx_stack_med,15,STALE-JUN25
green_bed,1,green_wool x3 @501o + mangrove_planks x3 @1717a,6654.3,100000.0,ah,100000.0,93345.7,1402.8,15557.62,1500,140018550,374,374,34911292,100000.0,tx_med,15,STALE-JUN25
red_nether_brick_wall,6,red_nether_bricks x6 @30o,180.0,15453.0,ah,92718.0,92538.0,51410.0,15423.0,1500,138807000,2919,48,45019737,22768.0,tx_stack_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + mangrove_planks x3 @1717a,18909.8,111430.0,ah,111430.0,92520.2,489.3,15420.04,1500,138780375,188,188,17393807,111430.0,tx_med,15,
green_bed,1,green_wool x3 @501o + warped_planks x3 @2049a,7650.5,100000.0,ah,100000.0,92349.6,1207.1,15391.59,1500,138524325,374,374,34538732,100000.0,tx_med,15,STALE-JUN25
purple_harness,1,leather x3 @283o + glass x2 @280o + purple_wool x1 @3031a,4440.0,96000.0,ah,96000.0,91560.0,2062.2,15260.0,1500,137340000,27,27,2472120,96000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + warped_planks x3 @2049a,19905.9,111430.0,ah,111430.0,91524.1,459.8,15254.02,1500,137286150,188,188,17206531,111430.0,tx_med,15,
red_sandstone_slab,6,red_sandstone x3 @391a,1171.9,7813.0,ah,46878.0,45706.1,3900.3,15235.38,3000,137118420,3106,62,23660545,183291.0,tx_stack_med,15,
cut_red_sandstone,4,red_sandstone x4 @391a,1562.5,15625.0,ah,62500.0,60937.5,3900.1,15234.38,2250,137109420,801,15,12202738,10281.0,tx_stack_med,15,
